,Unnamed: 0,cpd_str_alert_id,molecule_chembl_id,alert.alert_id,alert.alert_name,alert.alert_set.priority,alert.alert_set.set_name,alert.smarts
16046,46,49320668,CHEMBL1989174,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
5456,456,49310078,CHEMBL1077315,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10088,88,49314710,CHEMBL2282315,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4417,417,49309039,CHEMBL512421,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1467,467,49306089,CHEMBL81947,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16000,0,49320622,CHEMBL1974383,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
5616,616,49310238,CHEMBL1161338,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17327,327,49321949,CHEMBL3248258,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
15052,52,49319674,CHEMBL3683933,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
4228,228,49308850,CHEMBL463613,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13475,475,49318097,CHEMBL4128330,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8122,122,49312744,CHEMBL1927749,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17821,821,49322443,CHEMBL90716,7,R7 Peroxides,8,Glaxo,OO
13946,946,49318568,CHEMBL4283364,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17735,735,49322357,CHEMBL419106,7,R7 Peroxides,8,Glaxo,OO
19597,597,49324219,CHEMBL1276850,7,R7 Peroxides,8,Glaxo,OO
10732,732,49315354,CHEMBL2425240,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
5827,827,49310449,CHEMBL1190524,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3706,706,49308328,CHEMBL226520,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
9751,751,49314373,CHEMBL2251748,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17473,473,49322095,CHEMBL27792,7,R7 Peroxides,8,Glaxo,OO
12130,130,49316752,CHEMBL3542212,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
19278,278,49323900,CHEMBL590101,7,R7 Peroxides,8,Glaxo,OO
8461,461,49313083,CHEMBL1977116,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
7793,793,49312415,CHEMBL1812379,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1858,858,49306480,CHEMBL111375,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13102,102,49317724,CHEMBL4061931,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18603,603,49323225,CHEMBL258071,7,R7 Peroxides,8,Glaxo,OO
